Time Stamp,Air Temp,Humidity,Water Temp,PH,PPM
10/09/2019 19:03:38,78.08,54.3,66.43,6.515,0.0
10/09/2019 19:03:44,78.08,54.3,66.43,6.514,0.0
10/09/2019 19:03:52,78.08,53.9,66.43,6.531,0.0
10/09/2019 19:04:04,77.9,53.3,66.43,6.531,0.0
10/09/2019 19:04:14,77.9,53.1,66.43,6.507,0.0
10/09/2019 19:04:17,77.9,53.6,66.43,6.524,0.0
10/09/2019 19:04:25,77.9,54.4,66.43,6.527,0.0
10/09/2019 19:04:34,77.9,54.0,66.43,6.527,0.0
10/09/2019 19:04:42,77.9,54.0,66.43,6.526,0.0
10/09/2019 19:04:47,77.72,53.2,66.43,6.532,0.0
10/09/2019 19:04:57,77.9,51.6,66.43,6.524,0.0
10/09/2019 19:05:05,77.9,51.4,66.43,6.52,0.0
10/09/2019 19:05:13,77.9,50.8,66.43,6.524,0.0
10/09/2019 19:05:21,77.9,51.9,66.43,6.512,0.0
10/09/2019 19:05:27,77.9,52.8,66.43,6.515,0.0
10/09/2019 19:05:36,77.9,53.2,66.43,6.518,0.0
10/09/2019 19:05:43,77.9,52.8,66.43,6.514,0.0
10/09/2019 19:05:51,77.9,53.5,66.43,6.511,0.0
10/09/2019 19:05:57,77.9,53.7,66.43,6.511,0.0
10/09/2019 19:06:05,78.08,53.7,66.43,6.51,0.0
10/09/2019 19:06:14,78.08,53.3,66.43,6.511,0.0
